INJECTION CONTROL — recovery of a KNOWN planted rule (2.5 rad) vs separability D
  (learnable injections only; unlearnable = vacuous, excluded by the protocol)

  HGB (decision-grade) n=20: Pearson r=-0.095 (p=0.6908), Spearman rho=-0.469 (p=0.0368)
  all probe classes n=38: Pearson r=+0.094 (p=0.5727), Spearman rho=-0.338 (p=0.0380)

  dataset                         probe     sb   D_strip  inj_recovery  learn_score
  sberbank_housing                mlp        0    1.0000       10.1921       0.9144
  sberbank_housing                hgb        0    1.0000        0.0080       0.9248
  sberbank_housing                hgb        0    1.0000        0.1008       0.9382
  elec2                           rf         0    1.0000        0.0056       0.9752
  sberbank_housing                linear     0    1.0000       -1.2862       0.9401
  homesite_insurance              linear     0    1.0000        0.3878       0.7169
  sberbank_housing                knn        0    1.0000        0.0349       0.9132
  elec2                           hgb        0    1.0000        0.0182       0.9763
  homesite_insurance              hgb      100    1.0000       -0.0520       0.6938
  elec2                           hgb      100    1.0000        0.0169       0.9791
  elec2                           mlp        0    0.9999        0.0523       0.9809
  homesite_insurance              mlp        0    0.9999       -0.0409       0.7828
  elec2                           knn        0    0.9993        0.0418       0.9750
  delivery_eta                    hgb        0    0.9990        0.3316       0.8713
  delivery_eta                    hgb      100    0.9990        0.3181       0.8708
  delivery_eta                    rf         0    0.9987        0.4915       0.8704
  delivery_eta                    linear     0    0.9982        0.6552       0.8737
  delivery_eta                    mlp        0    0.9971        0.3607       0.8460
  delivery_eta                    knn        0    0.9809        0.2579       0.7909
  cooking_time                    hgb        0    0.9656        0.5462       0.8919
  cooking_time                    hgb      100    0.9656        0.5553       0.8977
  cooking_time                    rf         0    0.9617        0.5768       0.8926
  insects_gradual_balanced        hgb        0    0.9280        0.1141       0.8703
  elec2                           linear     0    0.9048        0.1904       0.9810
  insects_gradual_imbalanced      hgb        0    0.8971        0.1301       0.7835
  insects_incremental_balanced    hgb        0    0.8436        0.1623       0.8440
  insects_incremental_balanced    hgb      100    0.8436        0.1549       0.8399
  insects_incremental_balanced    hgb        0    0.8436        0.1623       0.8440
  insects_incremental_balanced    rf         0    0.8401        0.1629       0.8545
  insects_incremental_balanced    mlp        0    0.8378        0.1560       0.8574
  insects_incremental_balanced    knn        0    0.8219        0.1323       0.7662
  insects_incremental_balanced    linear     0    0.8063        0.2155       0.8638
  river_stagger_abrupt            hgb        0    0.5000        0.2059       0.9477
  river_agrawal_abrupt            hgb        0    0.4982        0.2007       0.9563
  river_hyperplane_incr           hgb        0    0.4926        0.2069       0.9338
  river_sine_reoccur2             hgb        0    0.4907        0.2465       0.9593
  river_agrawal_gradual           hgb        0    0.4895        0.1933       0.9669
  river_sine_abrupt               hgb        0    0.4881        0.2303       0.9628
